truth	cat	text	rules_by_year	rules_by_2021
TP	OFFN	U no what,  i cant b mad at paul p... i mean the celtics retired this man's number an he won wit them. But ryan smh… https://t.co/LYDCzzytt3	FN	FN
TN	NONE	Its a year now brother  We all do miss you but I know your close, have a sound rest brother. https://t.co/W3vxLJSvI6	TN	TN
TP	PRFN	RT @temyiaaa: I get irritated quick af , hate when people do dumb shit	TP	TP
TP	OFFN	He’s always been a fraud, cheat & racist. But this behavior is off the charts insane.  #FuckTrump	FN	FN
TN	NONE	'Dhoni should bat at No.4 and express himself freely', reckons @robbieuthappa on @My11Circle presents #CricbuzzLIVE    #INDvBAN #BANvIND #Dhoni	TN	TN
TP	PRFN	Don’t bust out shitty shit towards my fuckin’ family	TP	TP
TN	NONE	Congrats to @MeerGoose11 @leasky29 @crossy16 On making the squad. Now go hard out and show them what you’ve got	TN	TN
TP	PRFN	Why the fuck Michael Gough @ICC ?? 	TP	TP
TN	NONE	Infosys, the Indian outsourcing firm with more H-1Bs (58,000 between 2015 and 2017) than anyone else, has now spread its influence to the United Kingdom.    PM Boris Johnson has nominated Rishi Sunak, the son-in-law of Infosys' leader, as Treasury Secretary.  	TN	TN
FN	HATE	world Muslim population explosion is real & will permanently change course of human civilization.    If BJP not take it biggest challenge n control the population,     Dark days r Ahead.    What has not happened in last 10K yrs will happen in next 50 years!    @AmitShah @narendramodi	FN	FN
TP	PRFN	RT @egirlmel: anyways now that i fucked my GPA up time to treat myself cus ain’t shit i can do about it now 😌💅	TP	TP
TN	NONE	RT @8ennygaming: Die Apokalypse beginnt ! Ich bin LIVE! @TwitchLive  #PS4live (DAYS GONE)  live at https://t.co/vWuJPcvsVQ	TN	TN
TN	NONE	RT @oohmeg__: “If you fall behind, run faster. Never give up, never surrender, and rise up against the odds.” ―Jesse Jackson  GO EXO-L! GO…	TN	TN
TN	NONE	@peaponderer In America that would be a sleepover and field trip	TN	TN
FN	HATE	Yeah especially when there will be 2 Muslim political party in the state against one secular party BJP.	FN	FN
TP	PRFN	i cannot express this shit enough !!!!!!	TP	TP
FN	OFFN	Course you are mate! Just keep still while I buckle the cuffs of your jacket together behind your back  #fucktrump Peace&MuchLve 	FN	FN
TP	PRFN	RT @dearillegirl: not @ the game putting me as the manager of jungkook... they really want me to control this extra ass I- https://t.co/Mr4…	TP	FN
FP	NONE	An image of arrested sex racketeers is going viral with different false claims. One of the false claim says insinuates that 'Hindu terrorists' were caught in Allahabad. Another false claim says that Rohingya Muslims were kidnapping boys in MP... https://timesofindia.indiatimes.com/news/fake-alert-photo-of-sex-racket-gang-shared-as-hindu-terrorists-caught-in-allahabad/articleshow/70469604.cms?utm_medium=referral&utm_campaign=iOSapp&utm_source=facebook.com …	TN	TN
TP	HATE	Islam teaches us to live by the law of the lands. What she did was a disgrace. Nowhere in islam does it say she has to dress the way she does and many muslim countries forbid it but this country allows it because it's democratic. Sadly her actions have given Muslims a bad image.	TP	FN
TP	HATE	Maybe whilst there, you could have taken questions from journalists, rather than hiding & releasing propoganda bulletins.    If you're a serious PM, you would allow some scrutiny without No.10 spin jockeys pumping out silly soundbites. Until then the nickname stays: #BackDoorBoris	FN	FN
TN	NONE	RT @carleigh1985: AOC... Never had a child  Never been married  Never ran a business  Never bought a home  Never had a professional job Nev…	TN	TN
TN	NONE	@DisIdealist Currently it appears to be proportional to how desperately they need and covet the rival's votes. Sadl… https://t.co/Vgej4aVNtK	TN	TN
TN	NONE	Halala!!!!!! I don't think I know anyone that deserves this more than you do  Well Done Ausi waka! https://www.facebook.com/564353710/posts/10157371218433711/ …	TN	TN
FN	OFFN	RT @JenniThorburn: It's pure privilege to watch #Eurovision and ignore Palestinian people.  You're emboldening an apartheid regime. You're…	FN	FN
TN	NONE	General election, DUP dumped out, Tory power weakened. The only way out	TN	TN
TN	NONE	97% was because of him. Other 3% was you having loud sex	TN	TN
FP	NONE	Definition of FOOL as per http://dictionary.com , http://en.oxforddictionaries.com   “a silly or stupid person; a person who lacks judgment or sense / a clown”    Why @nipfp_org_in @bsindia etc are tolerating him?	TN	FP
TN	NONE	2 Somali #Refugees Arrested For Planning ISIS Attack Inside #US    The suspects had been in communication with an FBI agent whom they thought was an #ISIS supporter to purchased tickets to Egypt, if they were unable to travel, the pair had planned to carry out an attack inside USA pic.twitter.com/WMqLsTsoE7	TN	TN
FP	NONE	@ConnorJaundrell So damn gooood	TN	TN
TN	NONE	i hope u guys have cool cardboard games and card games or else i ain’t coming over @dropsofmauve @fleurdrouh	TN	TN
TP	OFFN	RT @CutCBC: Justin (the idiot) Trudeau of Canada having a cabinet meeting with his top advisors! https://t.co/1HpMj9ReGS  — GB Chicago (GB1…	TP	FN
TP	PRFN	@FearTheMilitia damn y’all kinda fell off, it was a good ass ride hopefully it gets revived. good luck boys!	TP	FN
TP	PRFN	RT @tokthadon: Your realtor friends on Facebook are the fucking worst lmao	TP	TP
TN	NONE	RT @txtonnews: THEY LOOKIN FINE FINE FINE @TXT_members @TXT_bighit  https://t.co/oy0aurXvQB	TN	TN
FP	NONE	If a Hindu mob were to lynch Muslim doctors, every political leader, Modi to Mamata to Rahul to Nitish to Kejri would announce a slew of compensation, visit the victims, and do elaborate Man ki Baats. Mujhe Maro, Mera Doctors ko maat maro, maat maro mere bhaiyon! Hindus disowned	TN	TN
FP	NONE	Mamata Banerjee totally lost Plot in dealing with the Doctors. Immediate action could have prevented crisis. But BJP and Bhakts should refrain from commenting on Mamata’s Statements. In similar situation, BJP MOS wanted protesting doctors to become Naxals so that they can be shot 	TN	TN
TN	NONE	It looks like Petrol Pump guys 	TN	TN
TN	NONE	RT @YoungGawhd: Look at my son. Tell him he’s pretty. https://t.co/0kGwQ4byUk	TN	TN
TP	PRFN	Just use the fucking signal light	TP	TP
TP	PRFN	Wonder if its Mamata/Yesudas tweet or use of 'marketing fuck up' that helpd me lose 15 folowrs yest. Wazzat abt separatng wheat from chaff?	FN	FN
TN	NONE	Supreme Court issues notice to Mamata Banerjee's govt over delay in release of BJYM leader Priyanka Sharma following her arrest over a meme	TN	TN
TN	NONE	@dbongino yeal that congress is on fire after over 2 yrs they finally decide to go to work. probably to get votes a… https://t.co/b5NwEK7TNl	TN	TN
FP	NONE	Yeah, so, Islam is an idea, not a race.  ...a terrible, hateful, idea and you disgrace yourself in its defense.  Everybody likes the legal immigrants.  Most of them are voting Trump.  :)    Sincerely, some guy, native of some place.	FP	TN
TN	NONE	RT @Castro1021: Oh damn. Just reading that Iker Casillas had a heart attack during training.  Hope he’s okay. 😞🙏♥️	TN	TN
FP	NONE	Did you know that Syed Ali Shah Geelani had given a shutdown call yesterday (Friday) in support of so called 'political prisoners'? Not a single shop was shut in Srinagar. Life was normal in Kashmir. Infact traffic jam in many areas. Thugs of Hurriyat can't fool Kashmiris now.	TN	TN
TP	OFFN	RT @iicedtae_: BITCH THEY ARE GOING TO FIND OUT https://t.co/EaFLENMKso	TP	TP
TN	NONE	Here to get our generation moving with nikelondon. Link in bio to find out more: https://t.co/mJ0einaSdn . ‘We’re p… https://t.co/kdoqLG0DVb	TN	TN
TN	NONE	they seriously believe that we Muslims will leave India if they keep mentally torturing us by constantly attacking our religion? Islamophobia has actually made us mentally and spiritually stronger dayummm!!!	TN	TN
TN	NONE	RT @ranIovemaiI: how ppl look comparing 20 y/o in casual swimsuit to a minor in a literal virgin killing sweater drawn at an angle to expos…	TN	TN
TP	PRFN	@___flyshitonly here u go on that bullshit lmaooo	TP	TP
FP	NONE	The Twitter troll army has gone so mad that they're uninstalling Zomato to show their support knowing that they'll install it again after few days when lured by offers and discounts. I want to ask dumb Twitterians isn't this hypocrisy?	TN	TN
TP	PRFN	RT @RealDJBJ: If you see me and I ain't working...beat my ass	TP	FN
TN	NONE	I am glad to share that Jawahar Navodaya Vidhyalayas have done exceptionally well in JEE Advanced and NEET examination with 38% and 78.32% respectively. Congratulations to all successful candidates.	TN	TN
TN	NONE	Boris Johnson: What does his tour around the UK tell us? https://simplenews.co.uk/general/boris-johnson-what-does-his-tour-around-the-uk-tell-us/ …	TN	TN
TP	PRFN	RT @LifeOfJay98: Me: should I do it?   My friends: no   Everyone: no   Universe: no   Me: ok fuck it imma do it	TP	TP
TP	OFFN	@Puiginho_ He’s so shit man	TP	TP
TN	NONE	@ButterflyBowz3 Mental health ❤️	TN	TN
TP	HATE	@SkyNews Wherever they go their moronic brain dead fans wreak havoc.	FN	FN
TN	NONE	RT @DANNYDEVlTHOE: POV: you’re a fetus and i abort you with a topshop coat hanger https://t.co/DJh6IbGO28	TN	TN
TN	NONE	@daddyjurin The series deviated from the books on several occasions so I expect people to do better regardless	TN	TN
FN	OFFN	RT @jen_jennnnnnnn: jake paul: you’re very mean and full of hatred   cody ko and noel miller: https://t.co/3cOau8o2E2	FN	FN
TP	PRFN	jjsjsjsbs Im still dead from when I posted this on my personal story full of locals and this bitch who works at car… https://t.co/Odo6PX55ND	TP	TP
TP	PRFN	Shit #IfICanHaveYou you know I love you Shawn ? https://t.co/SC1Hrzz3My	TP	FN
TN	NONE	@Tshepy_Peters They never get tired 😂 not allowed to even take a few minutes to catch breath 😳😅	TN	TN
TP	PRFN	RT @DanzelE_123: I bet them bands make her fuck	TP	TP
TN	NONE	Why does it always seem like you are still dressing yourself, regardless of time of day, whenever you get out of a car?	TN	TN
TN	NONE	Oh my gosh a only need a couple more follows to get to my goal, let's go!! #bloggerswanted give me a hand out there… https://t.co/LlZg9zDpxw	TN	TN
TN	NONE	My mom cracks me up, I’m wearing my fav perfume and she thinks I’m going on a date but I’m just going out with my cousin 💀💀	TN	TN
TP	PRFN	Fuck icc for firing him part 3 will be a flop won’t be watching	TP	TP
TP	PRFN	Basically Mamata just tags any protest against her as whatever her enemy of the day is. The BJP did try hijacking the protest but NRS doctors themselves told them to fuck off.	FN	TP
FN	OFFN	RT @NiteLoops: Kim Kardashian and Kanye West naming their child Psalm West made me think of this video https://t.co/9ouWog1GEO	FN	FN
TN	NONE	2 people followed me today tracked by https://t.co/sdWrALKHiX	TN	TN
FP	NONE	No Muslim MP from your party comes. Who is keeping them behind? You. There's a difference b/wtheir words&ideology. Narasimha Rao was responsible for Babri Masjid demolition, despite being PM he couldn't do anything. Now there's Modi who wants to work on his ideology. @asadowaisi	TN	TN
TN	NONE	“Yeah, bees. Like when you let them sting you.”  “You let bees sting you?”  “I don’t want to kill them by swatting them away!”  honestly me	TN	TN
TN	NONE	Are you using your phone just for calling your significant other or kids? Well, if you're an annuity agent, you nee… https://t.co/5zhUZCWK2e	TN	TN
TP	PRFN	RT @BillRatchet: jus caught myself watching a video of some youtube girl i don't give a fuck about exposing james charles who i also don't…	TP	TP
TN	NONE	I've no problem with the EU27 fully federalising. It's what I always expected to happen, I just want to make sure my country isn't part of it.	TN	TN
TN	NONE	But every leave politician said there would be a deal and it would be the easiest deal in history. Also, the Good Friday Agreement came before the vote that could lead to a No Deal so pretty sure that has priority.	TN	TN
